ref;Number;Anion;Cation;Antimicrobial
AB.57;AB.57;AB.57;AB.57;"E.coli:16;P.aeruginosa:32;S.aureus:8;S.aureus(USA300-0114):8;S.aureus(ATCC33592):8;E.faecalis:16;MIC(uM)"
AB.58;AB.58;AB.58;AB.58;"E.coli:8;P.aeruginosa:32;S.aureus:4;S.aureus(USA300-0114):8;S.aureus(ATCC33592):8;E.faecalis:16;MIC(uM)"
AB.59;AB.59;AB.59;AB.59;"E.coli:8;P.aeruginosa:16;S.aureus:4;S.aureus(USA300-0114):4;S.aureus(ATCC33592):4;E.faecalis:8;MIC(uM)"
AB.60;AB.60;AB.60;AB.60;"E.coli:8;P.aeruginosa:16;S.aureus:4;S.aureus(USA300-0114):8;S.aureus(ATCC33592):8;E.faecalis:8;MIC(uM)"
AB.61;AB.61;AB.61;AB.61;"E.coli:63;P.aeruginosa:250;S.aureus:63;S.aureus(USA300-0114):16;S.aureus(ATCC33592):32;E.faecalis:32;MIC(uM)"
AB.62;AB.62;AB.62;AB.62;"E.coli:250;P.aeruginosa:>250;S.aureus:63;S.aureus(USA300-0114):63;S.aureus(ATCC33592):250;E.faecalis:250;MIC(uM)"
AB.63;AB.63;AB.63;AB.63;"E.coli:63;P.aeruginosa:>250;S.aureus:16;S.aureus(USA300-0114):8;S.aureus(ATCC33592):32;E.faecalis:32;MIC(uM)"
AB.64;AB.64;AB.64;AB.64;"E.coli:8;P.aeruginosa:63;S.aureus:2;S.aureus(USA300-0114):4;S.aureus(ATCC33592):4;E.faecalis:8;MIC(uM)"
AB.65;AB.65;AB.65;AB.65;"E.coli:4;P.aeruginosa:16;S.aureus:2;S.aureus(USA300-0114):4;S.aureus(ATCC33592):4;E.faecalis:8;MIC(uM)"
AB.66;AB.66;AB.66;AB.66;"E.coli:8;P.aeruginosa:16;S.aureus:2;S.aureus(USA300-0114):4;S.aureus(ATCC33592):4;E.faecalis:8;MIC(uM)"
AB.67;AB.67;AB.67;AB.67;"E.coli:8;P.aeruginosa:>250;S.aureus:4;S.aureus(USA300-0114):8;S.aureus(ATCC33592):8;E.faecalis:8;MIC(uM)"
AB.68;AB.68;AB.68;AB.68;"E.coli:32;P.aeruginosa:250;S.aureus:125;S.aureus(USA300-0114):16;S.aureus(ATCC33592):32;E.faecalis:16;MIC(uM)"
AB.69;AB.69;AB.69;AB.69;"E.coli:10;S.aureus:9;C.tropicalis:15;IZDmm(1000ug/mL)"
